city,district,district
 الخبر,   حي التحلية ,149
 الخبر,   حي الصواري ,149
 الخبر,   حي اللؤلؤ ,148
 الخبر,   حي الحزام الاخضر ,96
 الخبر,   حي الكورنيش ,96
 الخبر,   حي الراكة الجنوبية ,52
 الخبر,   حي الامواج ,51
 الخبر,   حي البحيرة ,51
 الخبر,   حي المدينة الرياضية ,50
 الخبر,   حي مدينة العمال ,50
 الخبر,   حي العليا ,49
 الخبر,   حي العقيق ,7
 الخبر,   حي الحزام الذهبي ,4
 الخبر,   حي الخزامى ,4
 الخبر,   حي الشراع ,4
 الخبر,   حي قرطبة ,4
 الخبر,   حي الجسر ,2
 الخبر,   حي العقربية ,2
 الخبر,   حي اليرموك ,2
 الخبر,   حي الاندلس ,1
 الخبر,   حي الثقبة ,1
 الخبر,   حي الجوهرة ,1
 الخبر,   حي الخبر الشمالية ,1
 الخبر,   حي السفن ,1
 الخبر,   حي المرجان ,1
 الدمام,   حي ضاحية الملك فهد ,173
 الدمام,   حي المنار ,98
 الدمام,   حي الشعلة ,69
 الدمام,   حي الشاطئ الغربي ,53
 الدمام,   حي طيبة ,53
 الدمام,   حي الحمراء ,49
 الدمام,   حي بدر ,48
 الدمام,   حي الخالدية الشمالية ,47
 الدمام,   حي المدينة الصناعية الثانية ,47
 الدمام,   حي الاثير ,46
 الدمام,   حي الجوهرة ,46
 الدمام,   حي السيف ,46
 الدمام,   حي الفرسان ,46
 الدمام,   حي المنتزه ,46
 الدمام,   حي الندى ,6
 الدمام,   حي الشاطئ الشرقي ,4
 الدمام,   حي النزهة ,3
 الدمام,   حي النورس ,3
 الدمام,   حي الفيصلية ,2
 الدمام,   حي المزروعية ,2
 الدمام,   حي جامعة الدمام ,2
 الدمام,   حي الأمل ,1
 الدمام,   حي الانوار ,1
 الدمام,   حي الريان ,1
 الدمام,   حي الشرق ,1
 الدمام,   حي النخيل ,1
 الرياض,   حي العارض ,137
 الرياض,   حي الرمال ,119
 الرياض,   حي الملقا ,39
 الرياض,   حي طويق ,38
 الرياض,   حي النرجس ,35
 الرياض,   حي المونسية ,34
 الرياض,   حي العليا ,31
 الرياض,   حي القادسية ,30
 الرياض,   حي ظهرة لبن ,28
 الرياض,   حي السليمانية ,24
 الرياض,   حي الياسمين ,22
 الرياض,   حي الصحافة ,21
 الرياض,   حي العقيق ,15
 الرياض,   حي الروضة ,13
 الرياض,   حي القيروان ,13
 الرياض,   حي الشرق ,12
 الرياض,   حي اليرموك ,11
 الرياض,   حي الملز ,10
 الرياض,   حي بدر ,10
 الرياض,   حي حطين ,10
 الرياض,   حي الفيحاء ,9
 الرياض,   حي المهدية ,9
 الرياض,   حي قرطبة ,9
 الرياض,   حي التعاون ,8
 الرياض,   حي الرائد ,8
 الرياض,   حي الملك عبدالله ,8
 الرياض,   حي الخليج ,7
 الرياض,   حي الربيع ,7
 الرياض,   حي الرحمانية ,7
 الرياض,   حي العزيزية ,7
 الرياض,   حي الملك فهد ,7
 الرياض,   حي اشبيلية ,6
 الرياض,   حي الجنادرية ,6
 الرياض,   حي الحزم ,6
 الرياض,   حي الخزامى ,6
 الرياض,   حي الشهداء ,6
 الرياض,   حي العريجاء الغربية ,6
 الرياض,   حي المعيزلة ,6
 الرياض,   حي الواحة ,6
 الرياض,   حي القدس ,5
 الرياض,   حي المصيف ,5
 الرياض,   حي النزهة ,5
 الرياض,   حي النفل ,5
 الرياض,   حي الوادي ,5
 الرياض,   حي ام الحمام الغربي ,5
 الرياض,   حي عرقة ,5
 الرياض,   حي عكاظ ,5
 الرياض,   حي الحمراء ,4
 الرياض,   حي الربوة ,4
 الرياض,   حي العريجاء الوسطى ,4
 الرياض,   حي المرسلات ,4
 الرياض,   حي النخيل ,4
 الرياض,   حي الندى ,4
 الرياض,   حي الورود ,4
 الرياض,   حي ظهرة البديعة ,4
 الرياض,   حي غرناطة ,4
 الرياض,   حي الازدهار ,3
 الرياض,   حي الجزيرة ,3
 الرياض,   حي الدار البيضاء ,3
 الرياض,   حي الرفيعة ,3
 الرياض,   حي السعادة ,3
 الرياض,   حي السويدي ,3
 الرياض,   حي السويدي الغربي ,3
 الرياض,   حي الملك فيصل ,3
 الرياض,   حي النسيم الغربي ,3
 الرياض,   حي النهضة ,3
 الرياض,   حي ام الحمام الشرقي ,3
 الرياض,   حي عليشة ,3
 الرياض,   حي الاسكان ,2
 الرياض,   حي الاندلس ,2
 الرياض,   حي البديعة ,2
 الرياض,   حي الروابي ,2
 الرياض,   حي الزهرة ,2
 الرياض,   حي الشفا ,2
 الرياض,   حي الصفا ,2
 الرياض,   حي الضباط ,2
 الرياض,   حي المؤتمرات ,2
 الرياض,   حي المحمدية ,2
 الرياض,   حي المروج ,2
 الرياض,   حي الملك عبدالعزيز ,2
 الرياض,   حي المنار ,2
 الرياض,   حي النسيم الشرقي ,2
 الرياض,   حي النظيم ,2
 الرياض,   حي النموذجية ,2
 الرياض,   حي الهدا ,2
 الرياض,   حي الوشام ,2
 الرياض,   حي بنبان ,2
 الرياض,   حي جرير ,2
 الرياض,   حي ديراب ,2
 الرياض,   حي سلطانة ,2
 الرياض,   حي منفوحة الجديدة ,2
 الرياض,   حي أحد ,1
 الرياض,   حي الحائر ,1
 الرياض,   حي الخالدية ,1
 الرياض,   حي السفارات ,1
 الرياض,   حي السلام ,1
 الرياض,   حي العريجاء ,1
 الرياض,   حي الفلاح ,1
 الرياض,   حي المدينة الصناعية الجديدة ,1
 الرياض,   حي المناخ ,1
 الرياض,   حي المنصورة ,1
 الرياض,   حي الوزارات ,1
 الرياض,   حي ام سليم ,1
 الرياض,   حي شبرا ,1
 الرياض,   حي غبيرة ,1
 الرياض,   حي لبن ,1
 الرياض,   حي مطار الملك خالد الدولي ,1
 جدة,   حي الروضة ,103
 جدة,   حي المحمدية ,102
 جدة,   حي الشاطئ ,99
 جدة,   حي البساتين ,83
 جدة,   حي الزمرد ,80
 جدة,   حي الياقوت ,78
 جدة,   حي طيبة ,71
 جدة,   حي الزهراء ,49
 جدة,   حي بريمان ,29
 جدة,   حي النعيم ,23
 جدة,   حي ابحر الشمالية ,15
 جدة,   حي النهضة ,15
 جدة,   حي الخالدية ,14
 جدة,   حي الصالحية ,12
 جدة,   حي الحمدانية ,11
 جدة,   حي الصوارى ,10
 جدة,   حي ابحر الجنوبية ,9
 جدة,   حي الحمراء ,7
 جدة,   حي السلامة ,7
 جدة,   حي الصفا ,7
 جدة,   حي الفلاح ,6
 جدة,   حي الربوة ,5
 جدة,   حي الرياض ,4
 جدة,   حي المرجان ,4
 جدة,   حي المنتزه ,4
 جدة,   حي الاندلس ,3
 جدة,   حي البوادي ,3
 جدة,   حي الرحمانية ,3
 جدة,   حي الشراع ,3
 جدة,   حي الكوثر ,3
 جدة,   حي الامواج ,2
 جدة,   حي الرحاب ,2
 جدة,   حي الريان ,2
 جدة,   حي الفردوس ,2
 جدة,   حي الفيصلية ,2
 جدة,   حي المروة ,2
 جدة,   حي الاجاويد ,1
 جدة,   حي الاصالة ,1
 جدة,   حي الامير فواز الشمالي ,1
 جدة,   حي البغدادية الشرقية ,1
 جدة,   حي الجامعة ,1
 جدة,   حي الرويس ,1
 جدة,   حي السامر ,1
 جدة,   حي اللؤلؤ ,1
 جدة,   حي الواحة ,1
 جدة,   حي الورود ,1
 جدة,   حي ام حبلين ,1
 جدة,   حي بني مالك ,1
 جدة,   حي مريخ ,1
 جدة,   حي مشرفة ,1
